Name,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Christian Yelich,Brewers,580,13.8%,20.3%,0.68,0.329,0.429,0.671,1.1,0.342,6.2,0.355,3.2,0.5,4.8,134,61,0.442,175,11477
Mike Trout,Angels,600,18.3%,20.0%,0.92,0.291,0.438,0.645,1.083,0.353,4.9,0.298,3.7,2.5,0.9,136,60.4,0.436,178,10155
Alex Bregman,Astros,690,17.2%,12.0%,1.43,0.296,0.423,0.592,1.015,0.296,3.8,0.281,-3.4,1.2,0.1,146,58.7,0.418,169,17678
Nelson Cruz,Twins,521,10.7%,25.1%,0.43,0.311,0.392,0.639,1.031,0.328,1.3,0.351,-2.8,-1,-0.7,109,43.9,0.417,163,2434
Cody Bellinger,Dodgers,660,14.4%,16.4%,0.88,0.305,0.406,0.629,1.035,0.324,5,0.302,-0.1,1,0.5,137,54.2,0.415,162,15998
Anthony Rendon,Nationals,646,12.4%,13.3%,0.93,0.319,0.412,0.598,1.01,0.279,4.4,0.323,0.9,-0.7,0.2,133,51.8,0.413,154,12861
Ketel Marte,Diamondbacks,628,8.4%,13.7%,0.62,0.329,0.389,0.592,0.981,0.264,5.9,0.342,2.9,0.5,0.8,125,46,0.405,150,13613
George Springer,Astros,556,12.1%,20.3%,0.59,0.292,0.383,0.591,0.974,0.299,4.6,0.305,2,-1.1,0,109,38.7,0.4,157,12856
Juan Soto,Nationals,659,16.4%,20.0%,0.82,0.282,0.401,0.548,0.949,0.266,5.8,0.312,-2.7,0.6,1.6,125,42.2,0.394,142,20123
Nolan Arenado,Rockies,662,9.4%,14.0%,0.67,0.315,0.379,0.583,0.962,0.269,3.1,0.312,3.3,-0.2,-0.6,124,41,0.392,129,9777
Anthony Rizzo,Cubs,613,11.6%,14.0%,0.83,0.293,0.405,0.52,0.924,0.227,4,0.306,-5.2,0.1,-0.3,114,37,0.39,142,3473
Xander Bogaerts,Red Sox,698,10.9%,17.5%,0.62,0.309,0.384,0.555,0.939,0.246,2.7,0.338,-0.1,1.6,-0.5,130,42,0.39,141,12161
Charlie Blackmon,Rockies,634,6.3%,16.4%,0.38,0.314,0.364,0.576,0.94,0.262,4.6,0.334,-1.5,-0.9,-2.1,117,36.9,0.387,126,7859
Freddie Freeman,Braves,692,12.6%,18.4%,0.69,0.295,0.389,0.549,0.938,0.255,3.8,0.318,0.7,-0.3,-0.5,127,40.2,0.387,138,5361
J.D. Martinez,Red Sox,657,11.0%,21.0%,0.52,0.304,0.383,0.557,0.939,0.252,3.1,0.342,-2.8,-1.8,0,120,37.6,0.386,139,6184
Jeff McNeil,Mets,567,6.2%,13.2%,0.47,0.318,0.384,0.531,0.916,0.214,3.3,0.337,-2.3,1.3,-1.9,103,31.6,0.384,143,15362
Pete Alonso,Mets,693,10.4%,26.4%,0.39,0.26,0.358,0.583,0.941,0.323,2.7,0.28,-2.1,0,-0.1,126,38.4,0.384,143,19251
Eugenio Suarez,Reds,662,10.6%,28.5%,0.37,0.271,0.358,0.572,0.93,0.301,2.8,0.312,-6.3,0.7,-0.6,118,34.8,0.381,133,12552
Mookie Betts,Red Sox,706,13.7%,14.3%,0.96,0.295,0.391,0.524,0.915,0.229,6.3,0.309,4.3,-0.2,1.5,126,36.9,0.38,135,13611
Trevor Story,Rockies,656,8.8%,26.5%,0.33,0.294,0.363,0.554,0.917,0.26,6.6,0.361,2.6,2.5,0.8,117,34.2,0.38,121,12564
Carlos Santana,Indians,686,15.7%,15.7%,1,0.281,0.397,0.515,0.911,0.234,3.5,0.293,1.7,-0.6,0.4,122,35.4,0.38,136,2396
Austin Meadows,Rays,591,9.1%,22.2%,0.41,0.291,0.364,0.558,0.922,0.268,5.6,0.331,-2.5,2.5,-1,105,30.5,0.38,143,15672
Kris Bryant,Cubs,634,11.7%,22.9%,0.51,0.282,0.382,0.521,0.903,0.239,4,0.331,3.3,0.1,0.4,112,32.6,0.379,135,15429
Yoan Moncada,White Sox,559,7.2%,27.5%,0.26,0.315,0.367,0.548,0.915,0.233,5.6,0.406,0.3,2.8,0.4,99,28.7,0.379,140,17232
Josh Bell,Pirates,613,12.1%,19.2%,0.63,0.277,0.367,0.569,0.936,0.292,2.9,0.288,-4.4,0.1,-0.7,108,31,0.378,135,13145
Jorge Soler,Royals,679,10.8%,26.2%,0.41,0.265,0.354,0.569,0.922,0.304,2.8,0.294,0,-0.5,-0.2,120,34.3,0.378,136,14221
Josh Donaldson,Braves,659,15.2%,23.5%,0.65,0.259,0.379,0.521,0.9,0.262,2.5,0.292,-2.9,0.4,-0.5,116,32.7,0.377,132,5038
Rafael Devers,Red Sox,702,6.8%,17.0%,0.4,0.311,0.361,0.555,0.916,0.244,4.9,0.339,2.8,1.7,-2.2,123,34.6,0.377,133,17350
DJ LeMahieu,Yankees,655,7.0%,13.7%,0.51,0.327,0.375,0.518,0.893,0.191,4,0.349,0.6,-1.1,-0.3,113,31,0.375,135,9874
Jose Altuve,Astros,548,7.5%,15.0%,0.5,0.298,0.353,0.55,0.903,0.252,4.2,0.303,-0.5,-3.2,-1.3,95,25.6,0.374,139,5417
Trey Mancini,Orioles,679,9.3%,21.1%,0.44,0.291,0.364,0.535,0.899,0.244,3.1,0.326,0.4,-2.3,-0.2,116,31,0.373,134,15149
Marcus Semien,Athletics,747,11.6%,13.7%,0.85,0.285,0.369,0.522,0.892,0.237,5.1,0.294,4.2,-0.6,-1.9,128,34,0.373,138,12533
Max Muncy,Dodgers,589,15.3%,25.3%,0.6,0.251,0.374,0.515,0.889,0.265,3.8,0.283,2.4,2.4,0,101,26.8,0.372,134,13301
Bryan Reynolds,Pirates,546,8.4%,22.2%,0.38,0.314,0.377,0.503,0.88,0.189,4.3,0.387,0.6,0.7,-0.6,93,24.1,0.371,130,19326
Justin Turner,Dodgers,549,9.3%,16.0%,0.58,0.29,0.372,0.509,0.881,0.219,2.7,0.304,-1.9,0.7,0.1,93,23.7,0.37,132,5235
Ronald Acuna Jr.,Braves,715,10.6%,26.3%,0.4,0.28,0.365,0.518,0.883,0.238,6.2,0.337,4.6,0.4,3.1,120,30.3,0.369,126,18401
Matt Olson,Athletics,547,9.3%,25.2%,0.37,0.267,0.351,0.545,0.896,0.277,1.1,0.3,-0.9,0.7,-0.3,92,22.7,0.368,135,14344
Michael Brantley,Astros,637,8.0%,10.4%,0.77,0.311,0.372,0.503,0.875,0.191,3.2,0.32,1.9,-1.3,-0.6,106,25.8,0.367,134,4106
Bryce Harper,Phillies,682,14.5%,26.1%,0.56,0.26,0.372,0.51,0.882,0.25,4.4,0.313,-3.4,1.5,1.3,113,26.8,0.365,125,11579
Yuli Gurriel,Astros,612,6.0%,10.6%,0.57,0.298,0.343,0.541,0.884,0.243,3.6,0.289,-2.1,0.1,-0.6,100,23.5,0.364,132,19198
Tim Anderson,White Sox,518,2.9%,21.0%,0.14,0.335,0.357,0.508,0.865,0.173,4.7,0.399,1.3,-0.5,0.9,85,19.3,0.363,129,15172
Joc Pederson,Dodgers,514,9.7%,21.6%,0.45,0.249,0.339,0.538,0.876,0.289,3.7,0.249,0.1,0.5,-0.5,83,18.6,0.362,127,11899
Yasmani Grandal,Brewers,632,17.2%,22.0%,0.78,0.246,0.38,0.468,0.848,0.222,3.4,0.279,-4.8,-0.5,0.2,102,22.3,0.361,122,11368
Hunter Dozier,Royals,586,9.4%,25.3%,0.37,0.279,0.348,0.522,0.87,0.243,4.5,0.339,-1.8,0.5,-0.8,94,20.2,0.36,123,15117
Luke Voit,Yankees,510,13.9%,27.8%,0.5,0.263,0.378,0.464,0.842,0.2,2,0.345,-3.1,-0.4,-0.3,82,17.6,0.36,125,14811
Gleyber Torres,Yankees,604,7.9%,21.4%,0.37,0.278,0.337,0.535,0.871,0.256,3.3,0.296,-0.4,0.1,-0.2,96,20.1,0.358,124,16997
Michael Conforto,Mets,648,13.0%,23.0%,0.56,0.257,0.363,0.494,0.856,0.237,3.7,0.29,0.5,0.7,0.2,103,21.5,0.358,126,16376
Nicholas Castellanos,- - -,664,6.2%,21.5%,0.29,0.289,0.337,0.525,0.863,0.236,3.6,0.337,-0.4,0.7,-0.8,105,21.5,0.357,121,11737
Kyle Schwarber,Cubs,610,11.5%,25.6%,0.45,0.25,0.339,0.531,0.871,0.282,3.1,0.276,-2.1,1,-1.2,96,19.5,0.357,121,16478
Trea Turner,Nationals,569,7.6%,19.9%,0.38,0.298,0.353,0.497,0.85,0.2,7.6,0.348,2.1,-0.1,4.5,89,17.6,0.356,117,16252
Max Kepler,Twins,596,10.1%,16.6%,0.61,0.252,0.336,0.519,0.855,0.267,2.6,0.244,-0.5,1,-2.3,93,18.1,0.355,121,12144
