,index,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,playerid
0,7,Juan Soto,WSN,47,196,13,39,37,6,0.209,0.14300000000000002,0.344,0.363,0.35100000000000003,0.49,0.695,0.478,0.474,201.0,-0.5,24.8,-4.9,2.4,0.198,0.516,0.28600000000000003,5.6%,0.361,6.2%,0.0%,92.1,4.2,22.0,0.175,113.3,65.0,51.6%,20123
1,11,Freddie Freeman,ATL,60,262,13,51,53,2,0.172,0.141,0.299,0.366,0.341,0.462,0.64,0.456,0.462,187.0,-0.3,28.7,-1.3,3.3,0.311,0.316,0.373,1.5%,0.19699999999999998,5.4%,0.0%,92.4,17.2,26.0,0.147,109.3,96.0,54.2%,5361
2,12,Marcell Ozuna,ATL,60,267,18,38,56,0,0.142,0.225,0.298,0.391,0.33799999999999997,0.431,0.636,0.444,0.435,179.0,-0.2,26.7,-7.8,2.5,0.231,0.36700000000000005,0.402,16.2%,0.265,3.2%,0.0%,93.0,16.4,26.0,0.154,115.6,91.0,53.8%,10324
3,16,DJ LeMahieu,NYY,50,216,10,41,27,3,0.083,0.09699999999999999,0.226,0.37,0.364,0.42100000000000004,0.59,0.429,0.361,176.0,0.7,21.0,-1.2,2.5,0.223,0.5660000000000001,0.21100000000000002,0.0%,0.27,4.0%,0.0%,91.3,2.3,5.0,0.028999999999999998,109.5,80.0,45.7%,9874
4,22,Jose Ramirez,CLE,58,254,17,45,46,10,0.122,0.16899999999999998,0.315,0.294,0.292,0.386,0.607,0.415,0.37200000000000005,164.0,1.9,21.9,1.7,3.4,0.188,0.301,0.511,11.1%,0.18899999999999997,11.3%,100.0%,88.7,23.2,18.0,0.102,114.3,62.0,35.0%,13510
5,23,Ronald Acuna Jr.,ATL,46,202,14,46,29,8,0.188,0.297,0.331,0.302,0.25,0.406,0.581,0.413,0.425,158.0,2.2,17.3,2.0,2.4,0.22,0.35,0.43,7.0%,0.326,2.9%,0.0%,92.4,18.6,16.0,0.16,114.8,57.0,57.0%,18401
6,25,Trea Turner,WSN,59,259,12,46,41,12,0.085,0.139,0.253,0.353,0.335,0.39399999999999996,0.588,0.413,0.379,158.0,2.4,21.6,-0.5,2.7,0.20600000000000002,0.447,0.34700000000000003,7.2%,0.174,12.4%,0.0%,90.5,9.5,18.0,0.09,111.2,81.0,40.7%,16252
7,26,Dominic Smith,NYM,50,199,10,27,42,0,0.07,0.226,0.299,0.368,0.316,0.377,0.616,0.41200000000000003,0.39,164.0,0.6,16.9,-3.8,1.8,0.259,0.40700000000000003,0.33299999999999996,2.2%,0.222,5.5%,0.0%,89.8,10.8,18.0,0.133,110.7,63.0,46.7%,15653
8,27,Nelson Cruz,MIN,53,214,16,33,33,0,0.11699999999999999,0.271,0.292,0.36,0.303,0.397,0.595,0.41100000000000003,0.377,164.0,-0.7,16.1,-5.6,2.0,0.228,0.465,0.307,10.3%,0.41,5.1%,0.0%,91.6,9.4,19.0,0.15,114.4,59.0,46.5%,2434
9,28,Jose Abreu,CHW,60,262,19,43,60,0,0.069,0.225,0.3,0.35,0.317,0.37,0.617,0.41100000000000003,0.39799999999999996,166.0,-1.0,20.2,-5.4,2.6,0.23600000000000002,0.445,0.319,8.6%,0.32799999999999996,7.4%,0.0%,92.9,10.9,26.0,0.14300000000000002,114.0,97.0,53.3%,15676
