"Name","Team","BB%","K%","BB/K","OBP","SLG","BABIP","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","EV","LA","Barrels","Barrel%","playerid"
"Will Smith","SFG","0.0%","0.0%","0.00","1.000","1.000","1.000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","95.1","11.0","0","0.0%","8048"
"Oliver Drake","TBR","0.0%","0.0%","0.00","1.000","1.000","1.000","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","96.2","-1.0","0","0.0%","8823"
"Ruben Alaniz","- - -","0.0%","0.0%","0.00","1.000","1.000","1.000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","83.7","14.0","0","0.0%","10819"
"Seth Lugo","NYM","0.0%","0.0%","0.00","1.000","1.000","1.000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","75.0","15.0","0","0.0%","12447"
"John Brebbia","STL","0.0%","0.0%","0.00","1.000","1.000","1.000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","70.5","23.0","0","0.0%","12777"
"Gregory Soto","DET","0.0%","0.0%","0.00","1.000","1.000","1.000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","92.4","13.5","0","0.0%","19677"
"Francisco Liriano","PIT","50.0%","0.0%","1.00","1.000","1.000","1.000","0.0%","100.0%","0.0%","0.0%","0.0%","100.0%","0.0%","63.4","-55.0","0","0.0%","3201"
"John Means","BAL","33.3%","0.0%","1.00","1.000","1.000","1.000","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","80.7","-34.0","0","0.0%","16269"
"Wade LeBlanc","SEA","50.0%","0.0%","1.00","1.000",".000",".000","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","0","0.0%","5221"
"Chasen Shreve","STL","100.0%","0.0%","1.00","1.000",".000",".000","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","0","","10855"
"Robert Gsellman","NYM","100.0%","0.0%","1.00","1.000",".000",".000","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","0","","13696"
"Aaron Wilkerson","MIL","0.0%","33.3%","0.00",".333","1.333",".000","0.0%","50.0%","50.0%","0.0%","100.0%","0.0%","0.0%","87.9","-4.5","0","0.0%","16904"
"Caleb Ferguson","LAD","0.0%","0.0%","0.00",".500","1.000",".500","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","80.3","-39.5","0","0.0%","19349"
"Trent Thornton","TOR","0.0%","0.0%","0.00",".667",".667",".667","33.3%","66.7%","0.0%","0.0%","0.0%","0.0%","0.0%","88.6","4.0","0","0.0%","17948"
"Christian Colon","CIN","0.0%","0.0%","0.00",".625",".500",".500","0.0%","83.3%","16.7%","0.0%","0.0%","20.0%","0.0%","81.3","-5.8","0","0.0%","11145"
"Jacob Nottingham","MIL","0.0%","28.6%","0.00",".429",".833",".333","0.0%","25.0%","75.0%","0.0%","33.3%","0.0%","0.0%","93.5","29.8","0","0.0%","16448"
"Tyrone Taylor","MIL","8.3%","8.3%","1.00",".500",".600",".444","11.1%","88.9%","0.0%","0.0%","0.0%","0.0%","0.0%","79.1","-5.8","0","0.0%","13675"
"Shelby Miller","TEX","66.7%","33.3%","2.00",".667",".000",".000","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","","0","","10197"
"Lane Thomas","STL","9.1%","18.2%","0.50",".409",".684",".308","26.7%","46.7%","26.7%","25.0%","50.0%","14.3%","0.0%","91.7","6.4","4","13.3%","16939"
"Christian Yelich","MIL","13.8%","20.3%","0.68",".429",".671",".355","20.9%","43.2%","35.9%","7.5%","32.8%","6.2%","0.0%","93.2","11.5","59","15.8%","11477"
"Mike Trout","LAA","18.3%","20.0%","0.92",".438",".645",".298","26.6%","24.3%","49.2%","9.8%","25.9%","11.6%","0.0%","90.9","22.2","62","17.5%","10155"
"David Price","BOS","0.0%","50.0%","0.00",".500",".500","1.000","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","89.1","-10.0","0","0.0%","3184"
"Jesse Chavez","TEX","0.0%","50.0%","0.00",".500",".500","1.000","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","80.1","14.0","0","0.0%","5448"
"Brett Anderson","OAK","0.0%","25.0%","0.00",".500",".500",".667","40.0%","60.0%","0.0%","0.0%","0.0%","0.0%","0.0%","87.2","-1.6","0","0.0%","8223"
"Chris Flexen","NYM","0.0%","0.0%","0.00",".500",".500",".500","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","81.3","-3.5","0","0.0%","13896"
"Matthew Boyd","DET","0.0%","50.0%","0.00",".500",".500","1.000","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","96.0","3.0","0","0.0%","15440"
"Dennis Santana","LAD","0.0%","0.0%","0.00",".500",".500",".500","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","90.4","7.0","0","0.0%","17878"
"Yordan Alvarez","HOU","14.1%","25.5%","0.55",".412",".655",".366","24.9%","38.0%","37.1%","1.2%","32.9%","3.6%","0.0%","92.2","13.4","36","16.3%","19556"
"Alex Bregman","HOU","17.2%","12.0%","1.43",".423",".592",".281","22.5%","31.5%","45.9%","11.8%","18.6%","2.0%","0.0%","89.3","19.6","22","4.6%","17678"
"Nelson Cruz","MIN","10.7%","25.1%","0.43",".392",".639",".351","20.2%","39.6%","40.2%","7.6%","31.3%","9.3%","0.0%","93.7","13.1","61","18.7%","2434"
"Andrew Stevenson","WSN","16.2%","29.7%","0.55",".486",".467",".579","22.2%","50.0%","27.8%","20.0%","0.0%","11.1%","100.0%","84.6","12.1","2","10.5%","17932"
"David Freese","LAD","12.4%","23.7%","0.52",".403",".599",".374","25.4%","44.1%","30.5%","8.3%","30.6%","1.9%","0.0%","91.5","11.0","18","15.3%","9549"
"Cody Bellinger","LAD","14.4%","16.4%","0.88",".406",".629",".302","26.2%","31.5%","42.4%","8.9%","24.6%","10.6%","75.0%","91.1","17.9","57","12.6%","15998"
"Ryan Lavarnway","CIN","5.3%","26.3%","0.20",".316",".722",".273","23.1%","38.5%","38.5%","0.0%","40.0%","0.0%","0.0%","88.0","10.5","1","7.7%","8879"
"Edwin Rios","LAD","16.1%","37.5%","0.43",".393",".617",".409","26.9%","46.2%","26.9%","0.0%","57.1%","8.3%","0.0%","95.0","5.4","7","26.9%","18316"
"Anthony Rendon","WSN","12.4%","13.3%","0.93",".412",".598",".323","21.2%","33.1%","45.7%","10.3%","15.9%","5.2%","0.0%","90.4","19.5","50","10.7%","12861"
"Sam Hilliard","COL","10.3%","26.4%","0.39",".356",".649",".298","18.5%","42.6%","38.9%","0.0%","33.3%","0.0%","0.0%","90.8","8.4","7","13.0%","17954"
"Abraham Almonte","ARI","18.4%","21.1%","0.88",".421",".548",".364","26.1%","43.5%","30.4%","42.9%","14.3%","0.0%","0.0%","89.7","9.2","1","4.3%","5486"
"Brock Stewart","- - -","0.0%","0.0%","0.00",".333",".667",".333","33.3%","0.0%","66.7%","50.0%","0.0%","0.0%","0.0%","83.7","48.0","0","0.0%","16727"
"Ketel Marte","ARI","8.4%","13.7%","0.62",".389",".592",".342","22.2%","43.1%","34.8%","8.3%","19.0%","4.3%","100.0%","90.0","11.6","44","9.1%","13613"
