,exit_velo,launch_angle,player,result,hit_type,is_hit
0,69.9,49.0,David Peralta,field_out,out,0
1,62.8,36.0,David Peralta,field_out,out,0
2,91.4,7.0,David Peralta,single,single,1
3,43.4,16.0,David Peralta,field_out,out,0
4,112.1,16.0,David Peralta,double,double,1
5,97.9,-8.0,David Peralta,single,single,1
6,93.8,11.0,David Peralta,single,single,1
7,100.2,12.0,David Peralta,field_out,out,0
8,103.9,-12.0,David Peralta,single,single,1
9,83.6,53.0,David Peralta,field_out,out,0
10,99.5,13.0,David Peralta,single,single,1
11,90.3,5.0,David Peralta,field_out,out,0
12,107.7,-22.0,David Peralta,force_out,out,0
13,97.9,7.0,David Peralta,single,single,1
14,90.1,54.0,David Peralta,field_out,out,0
15,98.9,1.0,David Peralta,force_out,out,0
16,71.3,1.0,David Peralta,single,single,1
17,80.6,41.0,David Peralta,field_out,out,0
18,92.4,9.0,David Peralta,double,double,1
19,81.7,43.0,David Peralta,field_out,out,0
20,102.8,-21.0,David Peralta,field_out,out,0
21,63.5,-64.0,David Peralta,field_out,out,0
22,82.3,59.0,David Peralta,field_out,out,0
23,84.2,19.0,David Peralta,single,single,1
24,88.0,51.0,David Peralta,field_out,out,0
25,101.0,12.0,David Peralta,single,single,1
26,106.7,-11.0,David Peralta,field_out,out,0
27,95.8,10.0,David Peralta,single,single,1
28,66.4,-4.0,David Peralta,field_out,out,0
29,91.3,47.0,David Peralta,field_out,out,0
30,83.8,30.0,David Peralta,field_out,out,0
31,104.4,42.0,David Peralta,sac_fly,out,0
32,104.9,22.0,David Peralta,double,double,1
33,69.1,50.0,David Peralta,single,single,1
34,92.5,44.0,David Peralta,field_out,out,0
35,90.0,46.0,David Peralta,field_out,out,0
36,109.2,13.0,David Peralta,double,double,1
37,90.1,16.0,David Peralta,single,single,1
38,84.5,-17.0,David Peralta,single,single,1
39,91.7,24.0,David Peralta,field_out,out,0
40,99.8,16.0,David Peralta,field_out,out,0
41,105.8,15.0,David Peralta,double,double,1
42,104.3,6.0,David Peralta,field_out,out,0
43,89.2,-3.0,David Peralta,field_out,out,0
44,71.0,-58.0,David Peralta,grounded_into_double_play,out,0
45,86.8,-62.0,David Peralta,field_out,out,0
46,92.1,27.0,David Peralta,double,double,1
47,63.3,-69.0,David Peralta,single,single,1
48,84.2,24.0,David Peralta,single,single,1
49,97.7,-17.0,David Peralta,field_out,out,0
50,74.8,-62.0,David Peralta,field_out,out,0
51,94.6,37.0,David Peralta,field_out,out,0
52,104.0,16.0,David Peralta,triple,triple,1
53,88.4,-28.0,David Peralta,field_out,out,0
54,104.3,19.0,David Peralta,single,single,1
55,86.7,4.0,David Peralta,grounded_into_double_play,out,0
56,76.9,-62.0,David Peralta,single,single,1
57,105.0,15.0,David Peralta,field_out,out,0
58,86.0,15.0,David Peralta,single,single,1
59,83.8,-6.0,David Peralta,single,single,1
60,88.5,51.0,David Peralta,field_out,out,0
61,91.1,15.0,David Peralta,single,single,1
62,108.7,-1.0,Carlos Santana,grounded_into_double_play,out,0
63,84.5,56.0,Carlos Santana,field_out,out,0
64,81.7,2.0,Carlos Santana,field_out,out,0
65,89.3,5.0,Carlos Santana,field_out,out,0
66,105.1,-9.0,Carlos Santana,grounded_into_double_play,out,0
67,69.4,59.0,Carlos Santana,field_out,out,0
68,99.3,-16.0,Carlos Santana,field_out,out,0
69,96.6,23.0,Carlos Santana,field_out,out,0
70,101.1,-2.0,Carlos Santana,single,single,1
71,80.6,-23.0,Carlos Santana,field_out,out,0
72,80.9,3.0,Carlos Santana,force_out,out,0
73,87.8,-17.0,Carlos Santana,field_out,out,0
74,78.3,66.0,Carlos Santana,field_out,out,0
75,84.2,55.0,Carlos Santana,field_out,out,0
76,102.0,-3.0,Carlos Santana,single,single,1
77,65.2,32.0,Carlos Santana,single,single,1
78,101.7,26.0,Carlos Santana,double,double,1
79,72.2,79.0,Carlos Santana,field_out,out,0
80,77.4,-61.0,Carlos Santana,field_out,out,0
81,101.2,5.0,Carlos Santana,grounded_into_double_play,out,0
82,104.4,2.0,Carlos Santana,field_out,out,0
83,105.7,8.0,Carlos Santana,single,single,1
84,100.0,53.0,Carlos Santana,field_out,out,0
85,100.3,14.0,Carlos Santana,single,single,1
86,67.5,63.0,Carlos Santana,field_out,out,0
87,61.5,83.0,Carlos Santana,field_out,out,0
88,86.0,-2.0,Carlos Santana,grounded_into_double_play,out,0
89,95.4,1.0,Carlos Santana,single,single,1
90,86.1,-33.0,Carlos Santana,field_out,out,0
91,92.1,37.0,Carlos Santana,field_out,out,0
92,87.2,13.0,Carlos Santana,single,single,1
93,100.8,36.0,Carlos Santana,field_out,out,0
94,79.8,48.0,Carlos Santana,field_out,out,0
95,78.7,17.0,Carlos Santana,single,single,1
96,100.3,11.0,Carlos Santana,single,single,1
97,80.2,-42.0,Carlos Santana,field_out,out,0
