last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Pujols, Albert,2019,39,491,545,120,75,22,0,23,68,43,12.5,7.9,.244,.430,.305,.734,8,.247,.419,.308,.314,.310,.172,88.3,12.5,5.8,
Cabrera, Miguel,2019,36,493,549,139,106,21,0,12,108,48,19.7,8.7,.282,.398,.346,.744,5,.266,.433,.318,.328,.334,.167,90.4,12.3,6.7,
Choo, Shin-Soo,2019,37,563,660,149,92,31,2,24,165,78,25.0,11.8,.265,.455,.371,.826,1,.262,.473,.353,.361,.369,.212,91.9,9.1,9,
Jones, Adam,2019,34,485,528,126,84,25,1,16,101,31,19.1,5.9,.260,.414,.313,.727,3,.256,.427,.309,.317,.311,.171,86.1,13.4,6.7,
Cruz, Nelson,2019,39,454,521,141,74,26,0,41,131,56,25.1,10.7,.311,.639,.392,1.030,3,.290,.636,.420,.416,.378,.346,93.7,13.1,19.9,
Longoria, Evan,2019,34,453,508,115,74,19,2,20,112,43,22.0,8.5,.254,.437,.325,.762,5,.269,.491,.322,.351,.340,.222,89.7,14,7.5,
Fowler, Dexter,2019,33,487,574,116,72,24,1,19,142,74,24.7,12.9,.238,.409,.345,.754,4,.247,.415,.326,.336,.354,.168,85.5,13.1,7.4,
Cabrera, Asdrubal,2019,34,447,514,116,72,25,1,18,103,57,20.0,11.1,.260,.441,.342,.783,7,.237,.407,.331,.317,.326,.170,89.1,14.4,5.7,
Blackmon, Charlie,2019,33,580,634,182,101,42,7,32,104,40,16.4,6.3,.314,.576,.364,.940,5,.294,.522,.387,.365,.348,.227,88.7,14.6,8.3,
Cain, Lorenzo,2019,33,562,623,146,105,30,0,11,106,50,17.0,8.0,.260,.372,.324,.696,4,.282,.406,.302,.330,.346,.124,89.5,6.9,4.1,
Turner, Justin,2019,35,479,549,139,88,24,0,27,88,51,16.0,9.3,.290,.509,.372,.881,5,.282,.506,.370,.372,.368,.224,90.3,17.8,7.8,
Votto, Joey,2019,36,525,608,137,89,32,1,15,123,76,20.2,12.5,.261,.411,.357,.768,3,.254,.437,.332,.341,.353,.183,88.9,15.2,6.9,
Gardner, Brett,2019,36,491,550,123,62,26,7,28,108,52,19.6,9.5,.251,.503,.325,.829,3,.228,.355,.344,.291,.306,.127,87.7,13.9,3.9,
Braun, Ryan,2019,36,459,508,131,76,31,2,22,105,34,20.7,6.7,.285,.505,.341,.846,3,.263,.463,.354,.335,.324,.200,91.5,7.3,9.5,
Gordon, Alex,2019,35,556,633,148,103,31,1,13,100,51,15.8,8.1,.266,.396,.344,.740,6,.252,.415,.320,.327,.335,.163,88.7,9.3,5.4,
Andrus, Elvis,2019,31,600,648,165,122,27,4,12,96,34,14.8,5.2,.275,.393,.313,.707,10,.269,.397,.300,.308,.313,.128,88.4,7.2,3.5,
Ramos, Wilson,2019,32,473,524,136,103,19,0,14,69,44,13.2,8.4,.288,.416,.351,.768,3,.262,.398,.327,.314,.328,.136,90,-0.2,4.7,
Santana, Carlos,2019,33,573,686,161,96,30,1,34,108,108,15.7,15.7,.281,.515,.397,.911,2,.265,.478,.380,.365,.383,.213,91.8,11.7,9.6,
Belt, Brandon,2019,31,526,616,123,71,32,3,17,127,83,20.6,13.5,.234,.403,.339,.742,4,.241,.455,.319,.345,.348,.213,87.3,22.4,8.7,
Brantley, Michael,2019,32,575,637,179,115,40,2,22,66,51,10.4,8.0,.311,.503,.372,.875,4,.286,.461,.367,.349,.352,.175,88.8,10.6,5.5,
Gurriel, Yuli,2019,35,564,612,168,95,40,2,31,65,37,10.6,6.0,.298,.541,.343,.884,6,.274,.405,.364,.315,.323,.131,89.3,14.3,3.6,
Rojas, Miguel,2019,30,483,526,137,102,29,1,5,62,32,11.8,6.1,.284,.379,.331,.710,5,.271,.370,.306,.305,.322,.099,87.4,9.1,2.6,
Escobar, Eduardo,2019,30,636,699,171,97,29,10,35,130,50,18.6,7.2,.269,.511,.320,.831,10,.254,.463,.341,.325,.310,.209,87.8,18.4,7,
Davis, Khris,2019,32,481,533,106,72,11,0,23,146,47,27.4,8.8,.220,.387,.293,.679,2,.225,.425,.289,.310,.299,.200,90.2,13.2,9.8,
Pham, Tommy,2019,31,567,654,155,99,33,2,21,123,81,18.8,12.4,.273,.450,.369,.818,1,.274,.460,.349,.357,.370,.186,90.9,5.2,7.9,
Martinez, J.D.,2019,32,575,657,175,104,33,2,36,138,72,21.0,11.0,.304,.557,.382,.939,5,.295,.554,.386,.388,.377,.259,91.3,12.5,11.5,
Reddick, Josh,2019,32,501,550,138,102,19,3,14,66,36,12.0,6.5,.275,.409,.316,.726,9,.267,.386,.308,.308,.316,.119,86.1,15.8,3.4,
Goldschmidt, Paul,2019,32,597,682,155,95,25,1,34,166,78,24.3,11.4,.260,.476,.345,.820,3,.253,.502,.346,.354,.341,.249,90.2,15.5,11.3,
Altuve, Jose,2019,29,500,548,149,88,27,3,31,82,41,15.0,7.5,.298,.550,.352,.902,3,.260,.469,.374,.335,.319,.210,87.4,9.7,8.1,
Hernandez, Cesar,2019,29,612,667,171,123,31,3,14,100,45,15.0,6.7,.279,.408,.333,.741,4,.261,.370,.315,.299,.316,.110,86.1,9.5,2.7,
Segura, Jean,2019,29,576,618,161,108,37,4,12,73,30,11.8,4.9,.280,.420,.322,.742,3,.269,.400,.316,.310,.313,.131,88.2,7.2,3.2,
Castro, Starlin,2019,29,636,676,172,115,31,4,22,111,28,16.4,4.1,.270,.436,.300,.736,9,.265,.431,.307,.311,.298,.166,88.5,11,6.2,
Marte, Starling,2019,31,539,586,159,99,31,6,23,94,25,16.0,4.3,.295,.503,.341,.844,4,.289,.493,.353,.353,.338,.204,88.6,8.2,8,
Donaldson, Josh,2019,34,549,659,142,72,33,0,37,155,100,23.5,15.2,.259,.521,.379,.900,2,.262,.529,.377,.384,.382,.267,92.9,13.3,15.7,
Freeman, Freddie,2019,30,597,692,176,102,34,2,38,127,87,18.4,12.6,.295,.549,.389,.938,2,.290,.563,.389,.394,.385,.273,89.7,14.4,12.3,
Grandal, Yasmani,2019,31,513,632,126,70,26,2,28,139,109,22.0,17.2,.246,.468,.380,.848,5,.238,.469,.362,.363,.375,.231,90.7,14.2,11.3,
Heyward, Jason,2019,30,513,589,129,84,20,4,21,110,68,18.7,11.5,.251,.429,.343,.772,3,.253,.392,.328,.320,.345,.139,88.8,11.3,5.7,
