last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Peralta, David,444482,2020,33,203,218,61,45,10,1,5,45,13,20.6,6,0.3,0.433,0.339,0.773,2,0.257,0.367,0.333,0.295,0.301,0.11,89.2,6.4,5,
Santana, Carlos,467793,2020,34,206,255,41,26,7,0,8,43,47,16.9,18.4,0.199,0.35,0.349,0.699,1,0.25,0.444,0.316,0.368,0.39,0.194,88,12.2,6.7,
Brantley, Michael,488726,2020,33,170,187,51,31,15,0,5,28,17,15,9.1,0.3,0.476,0.364,0.84,0,0.26,0.413,0.362,0.325,0.327,0.153,88.7,10.2,4.9,
Escobar, Eduardo,500871,2020,31,203,222,43,29,7,3,4,41,15,18.5,6.8,0.212,0.335,0.27,0.605,2,0.261,0.394,0.257,0.305,0.316,0.132,88.6,18.1,5.5,
Gonzalez, Marwin,503556,2020,31,175,199,37,28,4,0,5,41,17,20.6,8.5,0.211,0.32,0.286,0.606,4,0.24,0.401,0.269,0.314,0.315,0.162,89.2,12.6,5.1,
Hernandez, Cesar,514917,2020,30,233,261,66,43,20,0,3,57,24,21.8,9.2,0.283,0.408,0.352,0.76,0,0.273,0.396,0.335,0.33,0.346,0.123,89.1,5.6,4,
Freeman, Freddie,518692,2020,31,214,262,73,36,23,1,13,37,45,14.1,17.2,0.341,0.64,0.462,1.102,0,0.338,0.656,0.456,0.462,0.459,0.318,92.4,17.2,14.7,
LeMahieu, DJ,518934,2020,32,195,216,71,49,10,2,10,21,18,9.7,8.3,0.364,0.59,0.421,1.011,1,0.308,0.453,0.429,0.361,0.371,0.145,91.3,2.3,2.9,
Aguilar, Jesus,542583,2020,30,188,216,52,34,10,0,8,40,23,18.5,10.6,0.277,0.457,0.352,0.809,4,0.271,0.452,0.347,0.345,0.348,0.182,89.3,16,7.2,
Crawford, Brandon,543063,2020,33,172,193,44,24,12,0,8,47,15,24.4,7.8,0.256,0.465,0.326,0.792,2,0.234,0.396,0.334,0.307,0.31,0.162,88.7,12.4,9.4,
Hicks, Aaron,543305,2020,31,169,211,38,20,10,2,6,38,41,18,19.4,0.225,0.414,0.379,0.793,0,0.254,0.432,0.351,0.372,0.403,0.178,88.2,11.1,6.9,
Semien, Marcus,543760,2020,30,211,236,47,30,9,1,7,50,25,21.2,10.6,0.223,0.374,0.305,0.679,0,0.203,0.344,0.299,0.281,0.287,0.141,86.2,19.3,5,
Trout, Mike,545361,2020,29,199,241,56,28,9,2,17,56,35,23.2,14.5,0.281,0.603,0.39,0.993,4,0.286,0.602,0.407,0.422,0.399,0.315,93.7,23.1,15,
Harper, Bryce,547180,2020,28,190,244,51,27,9,2,13,43,49,17.6,20.1,0.268,0.542,0.418,0.96,2,0.308,0.656,0.4,0.453,0.451,0.348,92.5,16,17.3,
Muncy, Max,571970,2020,30,203,248,39,23,4,0,12,60,39,24.2,15.7,0.192,0.389,0.331,0.72,2,0.233,0.477,0.316,0.364,0.365,0.244,88.5,14.2,12.4,
Myers, Wil,571976,2020,30,198,218,57,26,14,2,15,56,18,25.7,8.3,0.288,0.606,0.353,0.959,0,0.282,0.583,0.4,0.392,0.348,0.301,91,13.4,14.8,
Pollock, AJ,572041,2020,33,196,210,54,29,9,0,16,45,12,21.4,5.7,0.276,0.566,0.314,0.881,2,0.271,0.499,0.364,0.346,0.313,0.228,89.6,13,10.5,
Dickerson, Corey,572816,2020,31,194,210,50,37,5,1,7,35,15,16.7,7.1,0.258,0.402,0.31,0.712,0,0.252,0.398,0.308,0.307,0.306,0.146,85.7,11.1,5.7,
Yastrzemski, Mike,573262,2020,30,192,225,57,29,14,4,10,55,30,24.4,13.3,0.297,0.568,0.4,0.968,0,0.254,0.492,0.407,0.367,0.363,0.238,88.2,18.4,10.9,
Moran, Colin,592567,2020,28,178,200,44,24,10,0,10,52,19,26,9.5,0.247,0.472,0.325,0.797,1,0.252,0.476,0.34,0.348,0.331,0.223,91.9,8.3,13.4,
Realmuto, J.T.,592663,2020,29,173,195,46,29,6,0,11,48,16,24.6,8.2,0.266,0.491,0.349,0.84,0,0.246,0.498,0.361,0.356,0.331,0.252,90.2,11.6,13.6,
Merrifield, Whit,593160,2020,31,248,265,70,49,12,0,9,33,12,12.5,4.5,0.282,0.44,0.325,0.764,1,0.292,0.439,0.329,0.336,0.334,0.146,86.1,15.8,5.1,
